scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Unidentified spp,,27812,,,,,,"black (unresolvable, looks like a scientific name)",,4f5a16d8-0503-4452-af87-fa70b97721ef
Corvus caurinus,,3125,Chordata,Aves,Passeriformes,Corvidae,Corvus,grey/reject habitat,,e22b7277-2eb7-4e2f-8111-219ed29174db; 8fa23a26-1655-4577-86d2-713dae162cab; 6f0c8bfd-e76a-4d4f-b5e5-6c3983d6067b; 8eeabc8b-33f9-46e9-80bb-dcb6e504c24b; 208d760e-7a45-44ce-889e-f2d8b144858a; 65879312-2a5b-4c60-bc9b-97ab9e105336; d3949eb1-ad8f-44fc-8e44-46c5f138126f; b8021b2a-6b27-4833-aa19-91631595c397; e35fcf81-e749-4bf5-a22c-b6e1cad8cbea; 1123992d-bdd3-4fc4-ae83-aa3938a53781; 4f047510-f0e4-4eed-a89f-25a2ca5c2754; b91527ef-521d-4e8c-aeec-e554118a6618; 07d39abf-bd4a-4d8b-8deb-4adc77a7458b; 9da3adbe-be36-4dc2-bc7a-3f3fbc98de80; 46053d5d-d530-4e92-8ec4-2df2e7a8b15e; af43ae80-11b6-467a-a902-822ba33377d8; 3e0eb6f8-2704-4369-be11-d3d58e9f1bd2; 50543b86-2e32-4ac6-9bd9-bb33bb48cbbc; 42334eea-fbf8-4b1e-9e62-85008bcc3bf6
Globigerinoides trilobus trilobus,,2778,,,,,,grey/reject fossil,,488f7e7c-1c38-468c-b11a-843c55b4ab01; b08e636b-f5be-4f7f-81db-bdafcdf68e57; b58d5ca0-1af8-48b3-993d-6c89742bb0d2; 38535a43-2982-4479-88c1-8303f7ee8665; e724b7a8-b199-410c-a23c-1d46627df133; 1bcef367-cb04-4cf6-ab1e-eab1c2b0172a; f3c02ebd-f672-4787-ae0b-92263041cf0d; cdcddae2-a8e0-4c86-9e8d-f85134876937; 5a929c97-0c37-471f-ab24-bdbbe792f61b
Ind̩termin̩,,1997,,,,,,"black (unresolvable, looks like a scientific name)",,15700106-b0f0-4134-b3d4-4d48acce406a
Unidentified - 9300,urn:lsid:marinespecies.org:taxname:,1964,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Selachimorpha,,1616,,,,,,blue/DMT to process,,7aee17f1-d6e8-4204-a4b2-eafdf89563cf
Unicells_and_flagellates,,1558,,,,,,grey/reject species grouping,,58420107-111e-41f9-bcb7-d8abd65a7c1b; 1f15159f-6d35-4c3f-86e8-b3a89041ea33
Globoquadrina altispira altispira,,1274,,,,,,grey/reject fossil,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Skalozyb zheltiu [Soviet Fishery Data, 1998]",,1061,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Montipora aequtibellata,,972,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,blue/DMT to process,,6c813a6c-86f7-4d45-beb5-33eebd8de938
